date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,7.53,7.65,6.0,6.07,6.07,121145523,0.0000,1.0
2021-12-02,8.17,8.6,7.64,7.8,7.8,23257984,0.0000,1.0
2021-12-01,7.69,8.34,7.68,7.81,7.81,23156795,0.0000,1.0
2021-11-30,7.67,7.83,7.24,7.63,7.63,29389568,0.0000,1.0
2021-11-29,7.87,7.95,7.58,7.81,7.81,24526008,0.0000,1.0
2021-11-26,7.67,7.92,7.5,7.88,7.88,30334661,0.0000,1.0
2021-11-24,8.11,8.21,8.02,8.11,8.11,8025943,0.0000,1.0
2021-11-23,8.14,8.3267,8.05,8.12,8.12,13077182,0.0000,1.0
2021-11-22,8.31,8.335,8.05,8.13,8.13,10600229,0.0000,1.0
2021-11-19,8.43,8.63,8.21,8.3,8.3,10131641,0.0000,1.0
2021-11-18,8.5699,8.5699,8.22,8.43,8.43,14002757,0.0000,1.0
2021-11-17,8.98,9.13,8.53,8.64,8.64,17060809,0.0000,1.0
2021-11-16,9.13,9.25,8.85,9.0,9.0,14929392,0.0000,1.0
2021-11-15,9.43,9.47,8.91,9.01,9.01,19863305,0.0000,1.0
2021-11-12,8.95,9.62,8.9,9.51,9.51,33640165,0.0000,1.0
2021-11-11,9.35,9.56,8.5,8.96,8.96,48602607,0.0000,1.0
2021-11-10,8.1,9.0,8.03,8.95,8.95,46262044,0.0000,1.0
2021-11-09,8.17,8.25,8.0,8.12,8.12,10270461,0.0000,1.0
2021-11-08,8.2,8.51,8.06,8.12,8.12,16000717,0.0000,1.0
2021-11-05,8.21,8.22,7.95,8.12,8.12,16746008,0.0000,1.0
2021-11-04,8.4,8.4,8.15,8.24,8.24,12037307,0.0000,1.0
2021-11-03,8.26,8.37,8.16,8.36,8.36,6859144,0.0000,1.0
2021-11-02,8.31,8.34,8.1,8.23,8.23,9263915,0.0000,1.0
2021-11-01,8.1,8.56,8.07,8.46,8.46,13030490,0.0000,1.0
2021-10-29,8.26,8.36,8.01,8.07,8.07,13013340,0.0000,1.0
2021-10-28,8.2,8.36,8.06,8.26,8.26,10368261,0.0000,1.0
2021-10-27,8.33,8.5653,8.11,8.21,8.21,14611302,0.0000,1.0
2021-10-26,8.86,8.9,8.23,8.41,8.41,21926910,0.0000,1.0
2021-10-25,9.23,9.48,8.83,8.83,8.83,19171830,0.0000,1.0
2021-10-22,9.48,9.55,9.02,9.19,9.19,26166527,0.0000,1.0
2021-10-21,8.96,9.85,8.85,9.81,9.81,81413480,0.0000,1.0
2021-10-20,8.78,8.82,8.33,8.62,8.62,15548838,0.0000,1.0
2021-10-19,8.4001,8.59,8.2,8.56,8.56,21489622,0.0000,1.0
2021-10-18,8.17,8.41,8.15,8.24,8.24,7563752,0.0000,1.0
2021-10-15,8.31,8.4619,8.2,8.26,8.26,10946791,0.0000,1.0
2021-10-14,8.31,8.37,8.18,8.27,8.27,7530992,0.0000,1.0
2021-10-13,8.49,8.51,8.25,8.3,8.3,10429440,0.0000,1.0
2021-10-12,8.34,8.6689,8.24,8.45,8.45,14052229,0.0000,1.0
2021-10-11,8.38,8.8491,8.26,8.38,8.38,29426570,0.0000,1.0
2021-10-08,8.04,8.2438,7.91,8.17,8.17,13100383,0.0000,1.0
