date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,527.03,527.53,517.5322,521.77,521.77,293759,0.0000,1.0
2021-12-02,512.1,527.65,511.57,525.0,525.0,363813,0.0000,1.0
2021-12-01,519.63,528.43,511.12,511.65,511.65,342637,0.0000,1.0
2021-11-30,532.48,538.03,522.26,524.14,524.14,901123,0.0000,1.0
2021-11-29,528.97,539.19,525.59,533.95,533.95,323942,0.0000,1.0
2021-11-26,534.0,540.56,528.34,529.88,529.88,205352,0.0000,1.0
2021-11-24,531.88,538.5,529.0,533.98,533.98,209573,0.0000,1.0
2021-11-23,534.2,536.63,526.3,531.91,531.91,277843,0.0000,1.0
2021-11-22,532.99,538.81,528.755,533.36,533.36,298945,0.0000,1.0
2021-11-19,546.17,549.51,534.42,535.59,535.59,615400,0.0000,1.0
2021-11-18,533.14,536.9,529.99,536.83,536.83,342039,0.0000,1.0
2021-11-17,524.04,534.29,521.86,531.48,531.48,404703,0.0000,1.0
2021-11-16,516.96,527.34,514.7501,525.25,525.25,411769,0.0000,1.0
2021-11-15,515.0,522.975,507.02,517.32,517.32,762776,0.0000,1.0
2021-11-12,509.21,522.06,507.17,513.3,513.3,780891,0.0000,1.0
2021-11-11,494.37,507.17,493.06,506.96,506.96,498901,0.0000,1.0
2021-11-10,495.19,499.075,492.599,495.15,495.15,244470,0.0000,1.0
2021-11-09,499.88,508.8,496.75,498.49,498.49,452882,0.0000,1.0
2021-11-08,493.76,497.33,487.42,496.67,496.67,257789,0.0000,1.0
2021-11-05,505.76,507.2099,492.42,495.88,495.88,486378,0.0000,1.0
2021-11-04,487.73,509.9,486.48,509.38,509.38,596216,0.0000,1.0
2021-11-03,487.63,489.49,480.55,485.26,485.26,364271,0.0000,1.0
2021-11-02,488.06,490.03,478.36,486.87,486.87,457940,0.0000,1.0
2021-11-01,489.68,489.68,479.39,487.38,487.38,455889,0.0000,1.0
2021-10-29,478.38,490.135,474.03,488.97,488.97,351782,0.0000,1.0
2021-10-28,480.3,482.53,473.82,479.33,479.33,473161,0.0000,1.0
2021-10-27,469.38,482.12,468.0,480.27,480.27,571370,0.0000,1.0
2021-10-26,467.52,469.68,462.53,465.78,465.78,362886,0.0000,1.0
2021-10-25,464.25,469.78,460.81,466.24,466.24,293478,0.0000,1.0
2021-10-22,467.81,472.36,463.48,464.33,464.33,408578,0.0000,1.0
2021-10-21,460.65,468.31,456.82,467.96,467.96,457026,0.0000,1.0
2021-10-20,465.17,468.9099,455.12,458.58,458.58,576384,0.0000,1.0
2021-10-19,460.24,467.88,456.8524,465.37,465.37,519080,0.0000,1.0
2021-10-18,458.02,467.265,456.506,459.9,459.9,762968,0.0000,1.0
2021-10-15,473.89,475.0,453.34,454.91,454.91,1369495,0.0000,1.0
2021-10-14,461.0,489.89,455.96,477.48,477.48,1519047,0.0000,1.0
2021-10-13,479.72,480.455,474.03,476.28,476.28,631988,0.0000,1.0
2021-10-12,481.37,483.16,476.125,480.05,480.05,413475,0.0000,1.0
2021-10-11,477.88,484.46,472.43,479.48,479.48,359596,0.0000,1.0
2021-10-08,484.58,488.39,479.64,480.32,480.32,327919,0.0000,1.0
2021-10-07,482.2,491.18,481.29,482.71,482.71,484148,0.0000,1.0
2021-10-06,473.67,483.7794,470.69,482.66,482.66,469660,0.0000,1.0
2021-10-05,471.35,477.84,470.23,474.62,474.62,357477,0.0000,1.0
