date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,10.25,10.27,9.83,9.88,9.88,3020328,0.0000,1.0
2021-12-02,10.1,10.26,9.861,10.26,10.26,2064848,0.0000,1.0
2021-12-01,10.32,10.665,10.08,10.08,10.08,3103759,0.0000,1.0
2021-11-30,10.34,10.48,9.915,10.0,10.0,3563578,0.0000,1.0
2021-11-29,10.44,10.58,10.16,10.33,10.33,2541249,0.0000,1.0
2021-11-26,10.17,10.5,10.14,10.27,10.27,1611055,0.0000,1.0
2021-11-24,10.465,10.665,10.42,10.49,10.49,2458145,0.0000,1.0
2021-11-23,10.6,10.9,10.46,10.64,10.64,3664994,0.0000,1.0
2021-11-22,11.19,11.34,10.9,10.91,10.91,2861992,0.0000,1.0
2021-11-19,11.32,11.64,11.121,11.17,11.17,2611575,0.0000,1.0
2021-11-18,12.05,12.1374,11.41,11.45,11.45,5403519,0.0000,1.0
2021-11-17,11.63,11.69,11.35,11.55,11.55,3429862,0.0000,1.0
2021-11-16,11.43,11.89,11.42,11.64,11.64,7051628,0.0000,1.0
2021-11-15,11.2,11.65,10.75,11.62,11.62,7402924,0.0000,1.0
2021-11-12,10.49,11.16,10.47,11.16,11.16,7205768,0.0000,1.0
2021-11-11,9.99,10.7,9.9417,10.46,10.46,5751133,0.0000,1.0
2021-11-10,9.86,10.05,9.635,9.67,9.67,2603685,0.0000,1.0
2021-11-09,9.91,10.12,9.815,9.89,9.89,2681398,0.0000,1.0
2021-11-08,9.67,10.1,9.665,9.88,9.88,5455656,0.0000,1.0
2021-11-05,9.95,10.1,9.285,9.58,9.58,8340335,0.0000,1.0
2021-11-04,9.04,9.06,8.82,8.88,8.88,3717137,0.0000,1.0
2021-11-03,8.62,9.05,8.605,9.0,9.0,4045309,0.0000,1.0
2021-11-02,8.76,8.76,8.53,8.65,8.65,2225618,0.0000,1.0
2021-11-01,8.67,8.93,8.66,8.79,8.79,2281607,0.0000,1.0
2021-10-29,8.68,8.72,8.525,8.61,8.61,1734046,0.0000,1.0
2021-10-28,8.55,8.77,8.5125,8.73,8.73,2383407,0.0000,1.0
2021-10-27,8.64,8.69,8.53,8.56,8.56,1916885,0.0000,1.0
2021-10-26,8.94,8.95,8.58,8.65,8.65,2756538,0.0000,1.0
2021-10-25,8.87,8.99,8.81,8.89,8.89,2466931,0.0000,1.0
2021-10-22,9.0601,9.12,8.815,8.89,8.89,1855918,0.0000,1.0
2021-10-21,9.1,9.19,9.0929,9.14,9.14,2058980,0.0000,1.0
2021-10-20,9.13,9.27,9.1,9.15,9.15,1262730,0.0000,1.0
2021-10-19,9.14,9.19,8.98,9.13,9.13,1371081,0.0000,1.0
2021-10-18,8.77,9.09,8.75,9.06,9.06,1875974,0.0000,1.0
2021-10-15,9.11,9.139,8.83,8.83,8.83,2386435,0.0000,1.0
2021-10-14,8.97,9.11,8.9,9.02,9.02,2986191,0.0000,1.0
2021-10-13,8.83,8.94,8.81,8.92,8.92,1069140,0.0000,1.0
2021-10-12,8.8465,8.94,8.77,8.8,8.8,1688581,0.0000,1.0
2021-10-11,8.67,9.0664,8.655,8.74,8.74,2113975,0.0000,1.0
2021-10-08,8.92,8.96,8.65,8.65,8.65,1985440,0.0000,1.0
2021-10-07,8.97,9.1,8.9,8.91,8.91,1627395,0.0000,1.0
2021-10-06,9.01,9.08,8.8,8.87,8.87,2395504,0.0000,1.0
2021-10-05,9.13,9.21,8.99,9.15,9.15,1782925,0.0000,1.0
2021-10-04,9.29,9.45,9.0132,9.07,9.07,2660980,0.0000,1.0
2021-10-01,9.38,9.5,9.31,9.39,9.39,1489703,0.0000,1.0
2021-09-30,9.42,9.58,9.29,9.36,9.36,1934943,0.0000,1.0
2021-09-29,9.7,9.7,9.42,9.48,9.48,1267904,0.0000,1.0
2021-09-28,9.87,9.8766,9.61,9.68,9.68,1534201,0.0000,1.0
2021-09-27,9.79,9.94,9.645,9.91,9.91,1657235,0.0000,1.0
2021-09-24,9.8,9.84,9.52,9.78,9.78,1703648,0.0000,1.0
2021-09-23,9.8,9.99,9.77,9.85,9.85,1203178,0.0000,1.0
2021-09-22,9.48,9.85,9.48,9.74,9.74,2143620,0.0000,1.0
2021-09-21,9.42,9.545,9.34,9.44,9.44,1488516,0.0000,1.0
2021-09-20,9.3,9.463,9.17,9.41,9.41,2418302,0.0000,1.0
2021-09-17,9.58,9.66,9.39,9.57,9.57,2312808,0.0000,1.0
2021-09-16,9.6,9.755,9.545,9.66,9.66,2031575,0.0000,1.0
2021-09-15,9.4,9.595,9.23,9.57,9.57,2459065,0.0000,1.0
2021-09-14,9.52,9.64,9.22,9.41,9.41,2895415,0.0000,1.0
2021-09-13,9.38,9.595,9.295,9.51,9.51,2712256,0.0000,1.0
2021-09-10,9.69,9.865,9.295,9.32,9.32,1812547,0.0000,1.0
2021-09-09,9.53,9.73,9.32,9.61,9.61,2462560,0.0000,1.0
2021-09-08,9.735,9.81,9.52,9.55,9.55,2196664,0.0000,1.0
2021-09-07,9.92,9.955,9.76,9.82,9.82,1709925,0.0000,1.0
2021-09-03,9.92,10.06,9.91,9.91,9.91,1655500,0.0000,1.0
2021-09-02,10.15,10.2,9.9,9.93,9.93,2721462,0.0000,1.0
2021-09-01,10.05,10.19,9.995,10.12,10.12,1966347,0.0000,1.0
2021-08-31,9.86,10.065,9.8499,9.97,9.97,1964367,0.0000,1.0
2021-08-30,10.04,10.115,9.8,9.86,9.86,2429782,0.0000,1.0
2021-08-27,9.86,10.15,9.81,10.03,10.03,1778386,0.0000,1.0
2021-08-26,10.0,10.11,9.813,9.85,9.85,1562711,0.0000,1.0
2021-08-25,10.23,10.29,10.02,10.02,10.02,1421548,0.0000,1.0
2021-08-24,10.105,10.35,10.05,10.3,10.3,1668392,0.0000,1.0
2021-08-23,10.13,10.23,10.01,10.06,10.06,1672719,0.0000,1.0
2021-08-20,9.81,10.11,9.73,10.0,10.0,1720585,0.0000,1.0
2021-08-19,9.89,9.9694,9.655,9.8,9.8,2531908,0.0000,1.0
2021-08-18,10.07,10.14,9.95,10.02,10.02,1749352,0.0000,1.0
2021-08-17,10.03,10.24,9.86,10.13,10.13,2090530,0.0000,1.0
2021-08-16,10.09,10.32,9.92,10.19,10.19,2049683,0.0000,1.0
2021-08-13,10.42,10.5165,10.06,10.14,10.14,2436850,0.0000,1.0
2021-08-12,10.65,10.75,10.41,10.46,10.46,1870546,0.0000,1.0
2021-08-11,11.38,11.4,10.42,10.64,10.64,3826542,0.0000,1.0
2021-08-10,10.84,11.57,10.701,11.36,11.36,3775192,0.0000,1.0
2021-08-09,10.17,11.33,10.16,10.89,10.89,5996892,0.0000,1.0
2021-08-06,10.785,10.83,10.03,10.09,10.09,5806231,0.0000,1.0
2021-08-05,9.93,10.28,9.765,10.07,10.07,3738123,0.0000,1.0
2021-08-04,10.03,10.13,9.85,9.88,9.88,1769549,0.0000,1.0
2021-08-03,10.05,10.11,9.78,10.07,10.07,1657991,0.0000,1.0
2021-08-02,10.34,10.44,9.97,10.0,10.0,1607312,0.0000,1.0
2021-07-30,10.35,10.46,10.135,10.24,10.24,1335075,0.0000,1.0
2021-07-29,10.3,10.56,10.28,10.43,10.43,1688509,0.0000,1.0
2021-07-28,10.21,10.38,10.14,10.27,10.27,2114889,0.0000,1.0
2021-07-27,10.31,10.31,9.85,10.14,10.14,2255245,0.0000,1.0
2021-07-26,10.24,10.32,10.105,10.31,10.31,1627664,0.0000,1.0
2021-07-23,10.37,10.44,10.22,10.25,10.25,932752,0.0000,1.0
2021-07-22,10.62,10.77,10.215,10.24,10.24,2004743,0.0000,1.0
2021-07-21,10.41,10.68,10.26,10.62,10.62,1174300,0.0000,1.0
2021-07-20,10.22,10.48,9.945,10.4,10.4,2053114,0.0000,1.0
2021-07-19,9.75,10.32,9.73,10.2,10.2,2057115,0.0000,1.0
2021-07-16,10.33,10.49,10.06,10.1,10.1,1817610,0.0000,1.0
2021-07-15,10.35,10.37,9.925,10.14,10.14,3559838,0.0000,1.0
2021-07-14,10.55,10.83,10.41,10.5,10.5,1776402,0.0000,1.0
2021-07-13,10.84,10.94,10.425,10.48,10.48,1894973,0.0000,1.0
2021-07-12,10.6,11.04,10.53,10.98,10.98,2261854,0.0000,1.0
2021-07-09,10.7,10.86,10.48,10.64,10.64,1514256,0.0000,1.0
2021-07-08,10.22,10.83,10.18,10.65,10.65,2144027,0.0000,1.0
2021-07-07,10.83,10.99,10.2,10.51,10.51,4262318,0.0000,1.0
2021-07-06,11.17,11.175,10.66,10.88,10.88,2730544,0.0000,1.0
2021-07-02,11.45,11.645,11.17,11.18,11.18,1470786,0.0000,1.0
2021-07-01,11.8,11.88,11.23,11.4,11.4,2270401,0.0000,1.0
2021-06-30,11.5,11.72,11.11,11.65,11.65,3728690,0.0000,1.0
2021-06-29,11.65,11.725,11.51,11.55,11.55,1255240,0.0000,1.0
2021-06-28,11.66,11.975,11.385,11.58,11.58,2128079,0.0000,1.0
2021-06-25,11.59,11.94,11.45,11.6,11.6,3638834,0.0000,1.0
2021-06-24,11.64,11.66,11.275,11.55,11.55,2057005,0.0000,1.0
2021-06-23,11.51,11.745,11.51,11.6,11.6,1192175,0.0000,1.0
2021-06-22,11.55,11.6,11.27,11.55,11.55,2281395,0.0000,1.0
2021-06-21,11.42,11.65,11.32,11.56,11.56,1537069,0.0000,1.0
2021-06-18,11.66,11.835,11.29,11.41,11.41,3154622,0.0000,1.0
2021-06-17,12.05,12.26,11.86,11.86,11.86,2021839,0.0000,1.0
2021-06-16,12.29,12.305,11.735,12.11,12.11,2472194,0.0000,1.0
2021-06-15,12.22,12.475,12.11,12.3,12.3,2405683,0.0000,1.0
2021-06-14,12.97,12.97,12.26,12.37,12.37,3458527,0.0000,1.0
2021-06-11,11.98,12.66,11.95,12.59,12.59,3803807,0.0000,1.0
2021-06-10,12.2,12.28,11.86,11.87,11.87,3943954,0.0000,1.0
2021-06-09,12.3035,12.61,11.87,12.13,12.13,5052607,0.0000,1.0
2021-06-08,11.19,12.62,11.17,12.59,12.59,9250159,0.0000,1.0
2021-06-07,11.2,11.29,11.04,11.17,11.17,1987493,0.0000,1.0
2021-06-04,11.22,11.279,10.93,11.04,11.04,1967069,0.0000,1.0
2021-06-03,11.37,11.48,11.06,11.13,11.13,2125221,0.0000,1.0
