date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,33.34,33.79,33.305,33.64,33.64,8062740,0.0000,1.0
2021-12-02,32.99,33.47,32.785,33.25,33.25,8715119,0.0000,1.0
2021-12-01,33.96,34.31,32.82,32.88,32.88,12206013,0.0000,1.0
2021-11-30,34.64,34.7,33.505,33.61,33.61,15110308,0.0000,1.0
2021-11-29,34.91,35.0,34.33,34.78,34.78,8750654,0.0000,1.0
2021-11-26,34.9,35.25,34.54,34.83,34.83,7366758,0.0000,1.0
2021-11-24,35.21,35.33,34.86,35.19,35.19,7058242,0.4000,1.0
2021-11-23,35.72,36.06,35.61,35.82,35.4174150042,9911887,0.0000,1.0
2021-11-22,35.3,35.78,35.23,35.47,35.0713486935,22907647,0.0000,1.0
2021-11-19,35.32,35.57,34.98,35.34,34.942809778,8975570,0.0000,1.0
2021-11-18,35.46,35.58,34.76,35.37,34.9724726047,21736472,0.0000,1.0
2021-11-17,37.05,37.14,36.41,36.56,36.1490980613,6974241,0.0000,1.0
2021-11-16,37.7,37.97,36.985,37.04,36.6237032874,5228531,0.0000,1.0
2021-11-15,37.28,37.738,37.245,37.62,37.1971846024,5967216,0.0000,1.0
2021-11-12,37.31,37.55,37.05,37.22,36.8016802473,4479138,0.0000,1.0
2021-11-11,37.43,37.55,37.22,37.28,36.8610059005,3380441,0.0000,1.0
2021-11-10,37.565,37.84,37.21,37.49,37.068645687,4391974,0.0000,1.0
2021-11-09,37.15,37.405,37.0,37.35,36.9302191627,4061383,0.0000,1.0
2021-11-08,37.95,38.045,37.07,37.2,36.7819050295,5064072,0.0000,1.0
2021-11-05,37.49,38.1999,37.45,37.84,37.4147119978,8470666,0.0000,1.0
2021-11-04,37.37,37.51,36.84,37.19,36.7720174206,3792759,0.0000,1.0
2021-11-03,37.19,37.51,36.96,37.42,36.9994324248,4854355,0.0000,1.0
2021-11-02,36.74,37.175,36.4865,37.08,36.663253723,5512025,0.0000,1.0
2021-11-01,35.88,36.785,35.79,36.73,36.3171874122,5021158,0.0000,1.0
2021-10-29,36.31,36.62,35.78,35.89,35.4866282664,6246866,0.0000,1.0
2021-10-28,36.3,36.53,35.89,36.48,36.0699971902,5816148,0.0000,1.0
2021-10-27,37.04,37.19,35.59,36.4,35.9908963192,7886315,0.0000,1.0
2021-10-26,36.35,36.87,36.21,36.44,36.0304467547,8539744,0.0000,1.0
2021-10-25,36.38,36.485,36.02,36.22,35.8129193594,5690940,0.0000,1.0
2021-10-22,36.33,36.76,36.3,36.38,35.9711211014,3408010,0.0000,1.0
2021-10-21,36.8,36.89,35.99,36.38,35.9711211014,5243693,0.0000,1.0
2021-10-20,36.74,37.05,36.58,36.92,36.5050519809,3493552,0.0000,1.0
2021-10-19,36.91,36.99,36.32,36.81,36.3962882832,3848860,0.0000,1.0
2021-10-18,36.73,37.165,36.6329,36.88,36.4655015454,3025274,0.0000,1.0
2021-10-15,37.42,37.541,36.85,36.98,36.5643776342,4214863,0.0000,1.0
2021-10-14,36.99,37.395,36.94,37.26,36.8412306828,4015117,0.0000,1.0
2021-10-13,36.82,37.015,36.32,36.8,36.3864006743,3918017,0.0000,1.0
2021-10-12,36.692,37.05,36.53,36.78,36.3666254566,4657188,0.0000,1.0
2021-10-11,36.9,37.425,36.76,36.78,36.3666254566,4466527,0.0000,1.0
2021-10-08,37.07,37.28,36.705,36.78,36.3666254566,3156319,0.0000,1.0
2021-10-07,37.5,37.765,37.0,37.08,36.663253723,4244808,0.0000,1.0
2021-10-06,36.87,37.39,36.61,37.35,36.9302191627,3623582,0.0000,1.0
2021-10-05,36.83,37.225,36.8,37.07,36.6533661141,3776176,0.0000,1.0
2021-10-04,36.678,37.3,36.678,36.89,36.4753891543,6786992,0.0000,1.0
2021-10-01,37.02,37.04,36.55,36.68,36.2677493678,4151915,0.0000,1.0
2021-09-30,37.6,37.64,36.8,36.82,36.4061758921,4733682,0.0000,1.0
2021-09-29,36.54,37.79,36.46,37.53,37.1081961225,6387956,0.0000,1.0
2021-09-28,36.79,37.11,36.19,36.62,36.2084237145,7260087,0.0000,1.0
2021-09-27,36.51,37.1764,36.42,36.84,36.4259511099,4869491,0.0000,1.0
2021-09-24,36.35,36.675,36.28,36.39,35.9810087103,3393896,0.0000,1.0
2021-09-23,36.2,36.64,36.1686,36.31,35.9019078393,4047476,0.0000,1.0
