date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,13.48,13.55,10.93,11.42,11.42,3176434,0.0000,1.0
2021-12-02,13.6,14.08,13.51,13.64,13.64,1155672,0.0000,1.0
2021-12-01,14.26,14.63,13.566,13.58,13.58,617276,0.0000,1.0
2021-11-30,14.6,14.7,13.91,13.94,13.94,788355,0.0000,1.0
2021-11-29,13.17,14.85,13.17,14.84,14.84,2032601,0.0000,1.0
2021-11-26,13.02,13.38,12.51,13.1,13.1,1221791,0.0000,1.0
2021-11-24,13.5,13.77,13.22,13.445,13.445,858483,0.0000,1.0
2021-11-23,13.57,13.98,13.41,13.585,13.585,696146,0.0000,1.0
2021-11-22,14.44,14.45,13.745,14.02,14.02,1024884,0.0000,1.0
2021-11-19,13.9,14.12,13.7,14.04,14.04,492674,0.0000,1.0
2021-11-18,14.34,14.34,13.73,13.88,13.88,1686595,0.0000,1.0
2021-11-17,14.75,14.75,14.13,14.15,14.15,540930,0.0000,1.0
2021-11-16,14.8,14.9,14.5,14.682,14.682,1710927,0.0000,1.0
2021-11-15,15.01,15.06,14.7,14.73,14.73,863719,0.0000,1.0
2021-11-12,15.0,15.11,14.68,14.95,14.95,591877,0.0000,1.0
2021-11-11,14.6,15.0,14.6,14.86,14.86,377635,0.0000,1.0
2021-11-10,14.99,15.08,14.55,14.65,14.65,571261,0.0000,1.0
2021-11-09,15.22,15.48,14.86,15.038,15.038,736267,0.0000,1.0
2021-11-08,15.0,15.48,14.85,15.2,15.2,868647,0.0000,1.0
2021-11-05,14.74,14.97,14.53,14.89,14.89,974682,0.0000,1.0
2021-11-04,15.06,15.19,14.55,14.75,14.75,778073,0.0000,1.0
2021-11-03,15.05,15.25,14.85,15.12,15.12,874697,0.0000,1.0
2021-11-02,14.29,15.23,14.28,14.2815,14.2815,987668,0.0000,1.0
2021-11-01,13.95,14.62,13.6,14.282,14.282,987668,0.0000,1.0
2021-10-29,14.34,14.71,13.96,14.02,14.02,889045,0.0000,1.0
2021-10-28,14.77,14.78,14.26,14.45,14.45,878675,0.0000,1.0
2021-10-27,14.98,15.08,14.81,14.81,14.81,603266,0.0000,1.0
2021-10-26,14.92,15.26,14.76,15.0,15.0,847677,0.0000,1.0
2021-10-25,15.37,15.5,14.53,15.0,15.0,1260279,0.0000,1.0
2021-10-22,15.74,16.04,15.26,15.41,15.41,978181,0.0000,1.0
2021-10-21,16.71,16.94,15.6375,15.88,15.88,2444353,0.0000,1.0
2021-10-20,15.71,16.3,15.6,16.0,16.0,560060,0.0000,1.0
2021-10-19,16.15,16.5,15.6,15.84,15.84,941508,0.0000,1.0
2021-10-18,15.71,16.02,15.71,16.0,16.0,951107,0.0000,1.0
2021-10-15,14.6,15.91,14.48,15.32,15.32,1917564,0.0000,1.0
2021-10-14,14.06,14.68,14.05,14.62,14.62,1112905,0.0000,1.0
2021-10-13,14.25,14.46,14.03,14.45,14.45,801165,0.0000,1.0
2021-10-12,14.35,14.5,14.06,14.18,14.18,1029702,0.0000,1.0
2021-10-11,14.22,14.58,14.03,14.51,14.51,796801,0.0000,1.0
2021-10-08,14.13,14.5,14.0,14.03,14.03,424776,0.0000,1.0
2021-10-07,13.597,14.16,13.45,14.09,14.09,1104350,0.0000,1.0
2021-10-06,12.8,13.3,12.71,13.02,13.02,672685,0.0000,1.0
2021-10-05,13.06,13.45,12.75,12.84,12.84,1622529,0.0000,1.0
2021-10-04,14.13,14.13,13.02,13.17,13.17,1141586,0.0000,1.0
2021-10-01,13.56,14.26,13.5,14.2,14.2,816535,0.0000,1.0
2021-09-30,14.48,14.71,13.92,13.99,13.99,1467857,0.0000,1.0
2021-09-29,14.65,14.92,14.2,14.23,14.23,1226873,0.0000,1.0
2021-09-28,15.0,15.19,14.35,14.38,14.38,2239863,0.0000,1.0
2021-09-27,15.79,15.8,14.81,15.16,15.16,1471807,0.0000,1.0
2021-09-24,16.15,16.15,15.22,15.29,15.29,1114364,0.0000,1.0
2021-09-23,15.5,16.2,15.45,15.89,15.89,1261575,0.0000,1.0
2021-09-22,15.4,16.39,15.4,16.15,16.15,1724934,0.0000,1.0
2021-09-21,16.75,17.35,14.75,15.05,15.05,5021697,0.0000,1.0
2021-09-20,15.1,15.47,14.11,14.55,14.55,2176785,0.0000,1.0
2021-09-17,15.11,16.23,15.1,15.95,15.95,906441,0.0000,1.0
2021-09-16,16.415,16.42,15.51,15.6,15.6,1526203,0.0000,1.0
2021-09-15,17.51,17.79,16.11,16.42,16.42,2316547,0.0000,1.0
2021-09-14,17.0,17.5,16.91,17.48,17.48,2756592,0.0000,1.0
2021-09-13,16.15,16.99,16.15,16.83,16.83,1964331,0.0000,1.0
2021-09-10,16.06,16.67,16.05,16.1,16.1,1737094,0.0000,1.0
2021-09-09,16.14,16.2,15.65,16.05,16.05,763459,0.0000,1.0
2021-09-08,15.48,16.48,15.45,16.09,16.09,4481616,0.0000,1.0
2021-09-07,14.91,15.48,14.81,15.44,15.44,5144010,0.0000,1.0
2021-09-03,14.7,14.86,14.38,14.48,14.48,1265491,0.0000,1.0
2021-09-02,13.08,14.74,13.01,14.15,14.15,3171045,0.0000,1.0
2021-09-01,13.13,13.25,13.02,13.14,13.14,871830,0.0000,1.0
2021-08-31,13.2,13.25,12.92,13.15,13.15,1353607,0.0000,1.0
2021-08-30,13.66,13.69,12.91,13.35,13.35,1210749,0.0000,1.0
2021-08-27,13.97,13.99,13.56,13.68,13.68,633775,0.0000,1.0
2021-08-26,13.95,14.09,13.62,13.94,13.94,574227,0.0000,1.0
2021-08-25,13.88,14.08,13.56,13.95,13.95,653068,0.0000,1.0
2021-08-24,13.68,14.0,13.64,13.9,13.9,1109129,0.0000,1.0
2021-08-23,13.79,13.8,13.3,13.54,13.54,994390,0.0000,1.0
2021-08-20,13.53,13.88,13.52,13.69,13.69,937325,0.0000,1.0
2021-08-19,13.85,13.9,13.5,13.6,13.6,1670675,0.0000,1.0
2021-08-18,13.65,14.07,13.55,14.02,14.02,1123839,0.0000,1.0
2021-08-17,13.925,14.0,13.3,13.47,13.47,2128831,0.0000,1.0
2021-08-16,14.67,14.85,14.15,14.5,14.5,1434433,0.0000,1.0
2021-08-13,14.68,14.91,14.53,14.79,14.79,1577150,0.0000,1.0
2021-08-12,14.06,15.0,14.0,14.9,14.9,2670277,0.0000,1.0
2021-08-11,14.2,14.35,13.76,13.78,13.78,3395389,0.0000,1.0
2021-08-10,14.69,14.7,14.0,14.53,14.53,1409135,0.0000,1.0
2021-08-09,14.79,15.15,14.5,14.72,14.72,1063171,0.0000,1.0
2021-08-06,14.67,15.15,14.49,14.8,14.8,1194772,0.0000,1.0
2021-08-05,15.11,15.5,13.65,14.74,14.74,3216063,0.0000,1.0
2021-08-04,14.23,14.5,14.0601,14.5,14.5,1687643,0.0000,1.0
2021-08-03,13.75,14.06,13.3,14.01,14.01,1273590,0.0000,1.0
2021-08-02,12.8,14.39,12.8,14.39,14.39,3263843,0.0000,1.0
2021-07-30,12.19,12.49,11.9,12.42,12.42,1397787,0.0000,1.0
2021-07-29,12.55,12.65,12.08,12.65,12.65,1337464,0.0000,1.0
2021-07-28,11.93,12.5,11.8,11.97,11.97,3830287,0.0000,1.0
2021-07-27,11.9,12.19,10.381,10.95,10.95,7626179,0.0000,1.0
2021-07-26,12.22,12.95,11.65,12.38,12.38,6893607,0.0000,1.0
2021-07-23,13.55,13.7,13.1,13.17,13.17,3795939,0.0000,1.0
2021-07-22,14.83,15.1,14.2,14.45,14.45,2024028,0.0000,1.0
2021-07-21,14.5,15.18,14.27,14.84,14.84,1961521,0.0000,1.0
2021-07-20,13.13,14.77,13.1,14.39,14.39,2246325,0.0000,1.0
2021-07-19,12.3,13.1,12.03,13.06,13.06,2609071,0.0000,1.0
2021-07-16,13.35,13.85,12.84,12.88,12.88,1304123,0.0000,1.0
2021-07-15,13.48,13.85,12.91,13.4,13.4,2225751,0.0000,1.0
2021-07-14,14.7,14.76,13.77,13.915,13.915,3019572,0.0000,1.0
2021-07-13,15.41,15.65,14.4,14.911,14.911,4330878,0.0000,1.0
2021-07-12,14.55,15.43,14.1,15.41,15.41,7653728,0.0000,1.0
2021-07-09,12.4,13.99,12.33,13.94,13.94,3560915,0.0000,1.0
2021-07-08,12.09,12.3,11.71,12.08,12.08,2485067,0.0000,1.0
2021-07-07,14.25,14.3,12.54,12.9,12.9,3768006,0.0000,1.0
2021-07-06,13.09,14.06,12.92,13.45,13.45,9392982,0.0000,1.0
2021-07-02,11.41,12.59,11.41,12.48,12.48,6375528,0.0000,1.0
2021-07-01,11.35,11.62,10.28,11.33,11.33,2837678,0.0000,1.0
2021-06-30,9.82,12.09,9.82,11.28,11.28,9982009,0.0000,1.0
2021-06-29,9.17,9.29,9.11,9.24,9.24,1250746,0.0000,1.0
2021-06-28,9.06,9.22,8.98,9.18,9.18,1288235,0.0000,1.0
2021-06-25,8.74,8.88,8.66,8.82,8.82,499234,0.0000,1.0
2021-06-24,8.89,8.89,8.65,8.73,8.73,563951,0.0000,1.0
2021-06-23,8.74,8.88,8.62,8.86,8.86,706861,0.0000,1.0
2021-06-22,8.93,9.0,8.62,8.74,8.74,786433,0.0000,1.0
2021-06-21,9.12,9.13,8.8,8.93,8.93,884042,0.0000,1.0
2021-06-18,9.15,9.29,9.0,9.15,9.15,662624,0.0000,1.0
2021-06-17,9.01,9.29,8.9101,9.12,9.12,733788,0.0000,1.0
2021-06-16,9.51,9.64,9.12,9.2,9.2,828683,0.0000,1.0
2021-06-15,9.34,9.65,9.2,9.35,9.35,1236916,0.0000,1.0
2021-06-14,9.21,9.4,8.81,9.02,9.02,1248539,0.0000,1.0
2021-06-11,9.05,9.4,8.81,9.2,9.2,704700,0.0000,1.0
2021-06-10,9.3,9.75,8.81,8.99,8.99,1655682,0.0000,1.0
2021-06-09,8.69,9.51,8.66,9.36,9.36,2271873,0.0000,1.0
2021-06-08,8.11,8.8,8.11,8.75,8.75,1325780,0.0000,1.0
2021-06-07,7.7,8.2,7.7,8.17,8.17,1202423,0.0000,1.0
2021-06-04,7.7,7.92,7.61,7.71,7.71,595172,0.0000,1.0
2021-06-03,7.7,7.71,7.51,7.67,7.67,726861,0.0000,1.0
2021-06-02,7.76,8.05,7.71,7.71,7.71,1058235,0.0000,1.0
2021-06-01,7.42,7.79,7.42,7.71,7.71,796514,0.0000,1.0
2021-05-28,7.3,7.35,7.26,7.35,7.35,430702,0.0000,1.0
2021-05-27,7.4,7.48,7.3,7.31,7.31,506195,0.0000,1.0
2021-05-26,7.28,7.44,7.21,7.3,7.3,580211,0.0000,1.0
2021-05-25,7.4,7.4,7.22,7.32,7.32,465555,0.0000,1.0
2021-05-24,7.17,7.43,7.13,7.28,7.28,449052,0.0000,1.0
2021-05-21,7.09,7.3799,7.09,7.1585,7.1585,534486,0.0000,1.0
2021-05-20,7.2,7.25,7.01,7.08,7.08,490574,0.0000,1.0
2021-05-19,7.22,7.49,7.02,7.21,7.21,576127,0.0000,1.0
2021-05-18,6.67,7.55,6.67,7.4,7.4,1296009,0.0000,1.0
