date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,453.43,454.94,430.67,435.72,435.72,1279188,0.0000,1.0
2021-12-02,447.5,454.0,441.4,450.68,450.68,833141,0.0000,1.0
2021-12-01,459.55,467.98,447.96,448.43,448.43,892464,0.0000,1.0
2021-11-30,463.19,468.77,452.2,454.41,454.41,1266302,0.0000,1.0
2021-11-29,458.5,466.72,455.5,463.26,463.26,758969,0.0000,1.0
2021-11-26,460.18,462.11,453.64,456.58,456.58,418662,0.0000,1.0
2021-11-24,452.51,458.39,446.58,457.86,457.86,633808,0.0000,1.0
2021-11-23,460.71,465.3863,454.78,458.76,458.76,600801,0.0000,1.0
2021-11-22,473.43,473.43,458.2691,460.93,460.93,796286,0.0000,1.0
2021-11-19,474.35,478.28,469.09,473.0,473.0,872361,0.0000,1.0
2021-11-18,469.0,474.06,462.05,473.24,473.24,750504,0.0000,1.0
2021-11-17,476.78,477.8,465.34,465.84,465.84,866710,0.0000,1.0
2021-11-16,464.51,485.825,463.73,477.91,477.91,1390054,0.0000,1.0
2021-11-15,455.75,464.6699,454.66,461.96,461.96,737949,0.0000,1.0
2021-11-12,457.44,457.44,450.61,452.59,452.59,712959,0.0000,1.0
2021-11-11,461.5,462.91,452.51,453.0,453.0,507066,0.0000,1.0
2021-11-10,464.55,467.56,453.85,457.36,457.36,647748,0.0000,1.0
2021-11-09,466.84,471.8399,465.3,470.24,470.24,611845,0.0000,1.0
2021-11-08,471.82,471.82,456.755,466.14,466.14,736532,0.0000,1.0
2021-11-05,474.28,477.379,465.78,467.91,467.91,817628,0.0000,1.0
2021-11-04,469.93,478.66,469.02,473.94,473.94,676950,0.0000,1.0
2021-11-03,466.13,469.095,462.16,467.48,467.48,561849,0.0000,1.0
2021-11-02,461.5,470.11,460.765,464.64,464.64,676210,0.0000,1.0
2021-11-01,468.0,469.44,456.1,458.88,458.88,787888,0.0000,1.0
2021-10-29,446.62,467.04,446.08,466.01,466.01,1346225,0.0000,1.0
2021-10-28,435.31,443.6,435.31,443.46,443.46,687723,0.0000,1.0
2021-10-27,432.95,438.36,428.0,433.7,433.7,533895,0.0000,1.0
2021-10-26,431.0,435.0,427.11,432.73,432.73,630146,0.0000,1.0
2021-10-25,423.74,430.0,423.03,427.94,427.94,636933,0.0000,1.0
2021-10-22,422.49,424.57,418.9039,421.73,421.73,444732,0.0000,1.0
2021-10-21,416.27,424.85,416.14,424.04,424.04,566774,0.0000,1.0
2021-10-20,419.66,423.8999,413.66,414.4,414.4,524832,0.0000,1.0
2021-10-19,417.64,420.58,414.315,416.64,416.64,493682,0.0000,1.0
2021-10-18,401.25,417.62,400.3,417.38,417.38,647713,0.0000,1.0
2021-10-15,408.09,409.4058,403.0,403.51,403.51,815710,0.0000,1.0
2021-10-14,404.48,410.679,402.08,406.99,406.99,708782,0.0000,1.0
2021-10-13,390.37,402.07,388.33,400.71,400.71,1451476,0.0000,1.0
2021-10-12,388.44,389.74,383.24,384.57,384.57,828185,0.0000,1.0
2021-10-11,399.4,399.4,385.61,386.04,386.04,790587,0.0000,1.0
2021-10-08,401.41,401.755,393.72,397.22,397.22,560705,0.0000,1.0
2021-10-07,401.01,408.61,398.4,399.72,399.72,708742,0.0000,1.0
2021-10-06,392.66,400.68,392.52,398.13,398.13,810978,0.0000,1.0
2021-10-05,399.07,404.81,396.68,397.12,397.12,818403,0.0000,1.0
2021-10-04,401.31,401.4635,390.4157,392.57,392.57,956554,0.0000,1.0
2021-10-01,407.52,408.19,399.38,401.37,401.37,787834,0.0000,1.0
2021-09-30,410.28,411.3,403.32,404.7,404.7,798632,0.0000,1.0
2021-09-29,418.07,419.0,408.5,410.22,410.22,899112,0.0000,1.0
2021-09-28,427.89,429.45,413.7,414.54,414.54,1149465,0.0000,1.0
2021-09-27,430.48,434.93,427.81,430.72,430.72,698297,0.0000,1.0
2021-09-24,427.44,433.61,424.07,432.61,432.61,873339,0.0000,1.0
2021-09-23,433.0,437.32,430.0,431.91,431.91,1490115,0.0000,1.0
2021-09-22,425.12,431.28,422.01,431.18,431.18,948517,0.0000,1.0
2021-09-21,422.39,426.7,419.55,424.19,424.19,610944,0.0000,1.0
2021-09-20,418.1,425.3,412.485,419.53,419.53,971463,0.0000,1.0
2021-09-17,428.4,432.74,424.3,426.55,426.55,1546474,0.0000,1.0
2021-09-16,417.21,429.7999,417.21,426.44,426.44,978942,0.0000,1.0
2021-09-15,420.9415,421.02,414.09,418.95,418.95,818786,0.0000,1.0
2021-09-14,426.74,427.69,419.3901,420.5,420.5,853674,0.0000,1.0
2021-09-13,428.31,428.31,418.99,425.12,425.12,1244861,0.0000,1.0
2021-09-10,424.0,430.05,417.09,425.58,425.58,2150628,0.0000,1.0
2021-09-09,433.725,434.2225,420.2733,420.71,420.71,7789552,0.0000,1.0
2021-09-08,384.95,386.2782,376.37,380.85,380.85,2878287,0.0000,1.0
2021-09-07,394.88,394.95,383.01,386.46,386.46,1082401,0.0000,1.0
2021-09-03,388.27,390.77,385.12,388.33,388.33,712426,0.0000,1.0
2021-09-02,398.24,398.85,386.51,388.37,388.37,884521,0.0000,1.0
2021-09-01,400.71,401.95,393.68,395.53,395.53,966304,0.0000,1.0
2021-08-31,413.97,413.97,397.36,400.17,400.17,1275483,0.0000,1.0
2021-08-30,406.44,417.85,406.41,414.52,414.52,857947,0.0000,1.0
2021-08-27,403.76,409.34,402.83,405.97,405.97,465839,0.0000,1.0
2021-08-26,408.54,408.54,402.0,404.44,404.44,469085,0.0000,1.0
2021-08-25,404.85,409.04,402.65,408.32,408.32,506123,0.0000,1.0
2021-08-24,403.5,406.83,402.0,405.8,405.8,490974,0.0000,1.0
2021-08-23,398.57,406.32,396.56,404.36,404.36,546458,0.0000,1.0
2021-08-20,395.92,398.2,391.58,397.83,397.83,635486,0.0000,1.0
2021-08-19,385.5,399.0,384.36,396.49,396.49,840939,0.0000,1.0
2021-08-18,392.6,397.35,390.99,391.38,391.38,512585,0.0000,1.0
2021-08-17,403.12,403.25,388.2,392.48,392.48,1099381,0.0000,1.0
2021-08-16,406.25,407.569,400.3701,407.42,407.42,572919,0.0000,1.0
2021-08-13,409.0,409.135,403.17,408.72,408.72,428631,0.0000,1.0
2021-08-12,407.52,410.04,406.39,408.91,408.91,397416,0.0000,1.0
2021-08-11,406.26,413.49,405.87,408.82,408.82,567690,0.0000,1.0
2021-08-10,407.33,411.54,404.575,405.87,405.87,602142,0.0000,1.0
2021-08-09,409.09,410.6499,406.755,407.64,407.64,546339,0.0000,1.0
2021-08-06,412.44,413.0,406.53,408.52,408.52,609095,0.0000,1.0
2021-08-05,411.0,415.34,410.63,414.39,414.39,554030,0.0000,1.0
2021-08-04,409.0,413.49,408.12,410.47,410.47,593258,0.0000,1.0
2021-08-03,402.76,409.2505,402.76,407.51,407.51,575040,0.0000,1.0
2021-08-02,402.77,406.21,399.58,402.65,402.65,512247,0.0000,1.0
2021-07-30,399.14,403.21,397.83,400.17,400.17,563895,0.0000,1.0
2021-07-29,394.54,406.24,394.315,402.87,402.87,1050526,0.0000,1.0
2021-07-28,392.35,394.77,389.13,393.09,393.09,511603,0.0000,1.0
2021-07-27,394.27,394.27,385.735,391.43,391.43,652264,0.0000,1.0
2021-07-26,402.57,405.935,392.535,395.44,395.44,799307,0.0000,1.0
2021-07-23,394.99,405.95,394.13,402.79,402.79,1215009,0.0000,1.0
2021-07-22,383.75,397.5,383.75,395.85,395.85,1196887,0.0000,1.0
2021-07-21,383.2,386.3661,380.5,383.62,383.62,682512,0.0000,1.0
2021-07-20,375.27,387.9174,373.56,383.3,383.3,1638132,0.0000,1.0
2021-07-19,367.78,373.72,364.51,373.04,373.04,904133,0.0000,1.0
2021-07-16,376.41,378.5,370.98,371.69,371.69,623858,0.0000,1.0
2021-07-15,379.61,380.82,370.38,376.17,376.17,1186286,0.0000,1.0
2021-07-14,377.34,385.9,375.825,376.99,376.99,2119371,0.0000,1.0
2021-07-13,367.04,372.62,365.875,370.77,370.77,647176,0.0000,1.0
2021-07-12,375.93,378.0,366.58,368.91,368.91,806003,0.0000,1.0
2021-07-09,373.91,378.425,372.77,377.42,377.42,671408,0.0000,1.0
2021-07-08,370.6848,375.15,368.68,373.53,373.53,795552,0.0000,1.0
2021-07-07,374.0,378.0,371.26,377.82,377.82,836855,0.0000,1.0
2021-07-06,369.95,372.41,364.74,371.37,371.37,948029,0.0000,1.0
2021-07-02,365.87,369.55,365.51,368.47,368.47,697894,0.0000,1.0
2021-07-01,363.79,366.51,361.51,364.23,364.23,880848,0.0000,1.0
2021-06-30,366.34,367.25,364.4907,364.97,364.97,664016,0.0000,1.0
2021-06-29,363.79,368.32,363.15,366.66,366.66,648919,0.0000,1.0
2021-06-28,365.06,367.79,363.52,363.79,363.79,1222264,0.0000,1.0
2021-06-25,365.0,371.0,361.0,363.69,363.69,1707682,0.0000,1.0
2021-06-24,362.84,364.96,361.17,361.91,361.91,768231,0.0000,1.0
2021-06-23,358.26,362.17,357.02,359.4,359.4,684635,0.0000,1.0
2021-06-22,352.28,360.25,352.05,359.11,359.11,921867,0.0000,1.0
2021-06-21,348.17,354.49,345.715,352.29,352.29,829092,0.0000,1.0
