date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,9.91,9.96,9.22,9.45,9.45,14728162,0.0000,1.0
2021-12-02,9.58,9.98,9.39,9.88,9.88,11015761,0.0000,1.0
2021-12-01,10.34,10.44,9.5,9.5,9.5,13078225,0.0000,1.0
2021-11-30,10.23,10.72,9.87,10.22,10.22,15212823,0.0000,1.0
2021-11-29,10.5,10.52,9.98,10.23,10.23,12486514,0.0000,1.0
2021-11-26,10.25,10.515,10.02,10.46,10.46,7509458,0.0000,1.0
2021-11-24,10.5,10.85,10.16,10.66,10.66,10404320,0.0000,1.0
2021-11-23,11.09,11.15,10.12,10.41,10.41,18249510,0.0000,1.0
2021-11-22,11.97,12.03,10.9,11.13,11.13,16181914,0.0000,1.0
2021-11-19,12.2,12.2,11.82,11.86,11.86,13580018,0.0000,1.0
2021-11-18,13.31,13.3196,12.24,12.39,12.39,9443868,0.0000,1.0
2021-11-17,13.14,13.94,12.98,13.39,13.39,8323068,0.0000,1.0
2021-11-16,13.67,13.67,12.95,13.36,13.36,10604787,0.0000,1.0
2021-11-15,14.02,14.13,13.4,13.73,13.73,8222863,0.0000,1.0
2021-11-12,14.35,14.4,13.72,13.98,13.98,8545323,0.0000,1.0
2021-11-11,14.11,14.8,13.6,14.36,14.36,10849506,0.0000,1.0
2021-11-10,13.99,14.8,13.7,13.84,13.84,11970562,0.0000,1.0
2021-11-09,14.4,14.43,13.45,14.32,14.32,14863444,0.0000,1.0
2021-11-08,13.535,14.7,13.33,14.52,14.52,17833143,0.0000,1.0
2021-11-05,14.53,14.53,12.66,13.14,13.14,26932235,0.0000,1.0
2021-11-04,13.36,15.56,12.75,15.44,15.44,44827946,0.0000,1.0
2021-11-03,12.39,12.92,12.2737,12.71,12.71,10562562,0.0000,1.0
2021-11-02,12.66,13.11,12.15,12.55,12.55,12928814,0.0000,1.0
2021-11-01,12.03,12.9,11.99,12.5,12.5,14937220,0.0000,1.0
2021-10-29,11.31,11.97,11.3,11.8,11.8,11632982,0.0000,1.0
2021-10-28,10.67,11.65,10.57,11.43,11.43,14053851,0.0000,1.0
2021-10-27,10.88,10.985,10.54,10.59,10.59,5251488,0.0000,1.0
2021-10-26,11.04,11.59,10.73,10.84,10.84,9987637,0.0000,1.0
2021-10-25,10.66,11.14,10.58,10.98,10.98,7243564,0.0000,1.0
2021-10-22,11.02,11.0202,10.45,10.6,10.6,7385046,0.0000,1.0
2021-10-21,11.09,11.45,10.99,11.08,11.08,5814287,0.0000,1.0
2021-10-20,11.38,11.39,11.005,11.15,11.15,7260981,0.0000,1.0
2021-10-19,10.96,11.82,10.8601,11.48,11.48,9803149,0.0000,1.0
2021-10-18,11.06,11.295,10.86,10.96,10.96,5927901,0.0000,1.0
2021-10-15,11.23,11.51,11.02,11.16,11.16,5979875,0.0000,1.0
2021-10-14,11.71,11.88,11.09,11.19,11.19,8647557,0.0000,1.0
2021-10-13,11.3555,11.48,11.12,11.35,11.35,5319671,0.0000,1.0
2021-10-12,10.5675,11.43,10.49,11.36,11.36,10078693,0.0000,1.0
2021-10-11,10.62,10.885,10.48,10.55,10.55,4400284,0.0000,1.0
2021-10-08,10.7,10.94,10.57,10.68,10.68,4919825,0.0000,1.0
2021-10-07,10.43,11.04,10.355,10.67,10.67,10152858,0.0000,1.0
2021-10-06,10.0,10.38,9.87,10.21,10.21,7567475,0.0000,1.0
2021-10-05,10.16,10.38,10.03,10.12,10.12,7538485,0.0000,1.0
2021-10-04,10.58,10.6258,9.911,10.17,10.17,10247038,0.0000,1.0
2021-10-01,10.78,11.07,10.52,10.62,10.62,6713870,0.0000,1.0
2021-09-30,10.67,10.96,10.61,10.67,10.67,6706624,0.0000,1.0
2021-09-29,11.23,11.54,10.55,10.61,10.61,10934851,0.0000,1.0
2021-09-28,11.83,12.03,10.95,10.98,10.98,10814472,0.0000,1.0
2021-09-27,11.66,12.26,11.47,11.95,11.95,11635221,0.0000,1.0
2021-09-24,11.28,11.8974,11.21,11.66,11.66,11799836,0.0000,1.0
2021-09-23,11.1031,11.55,10.81,11.4,11.4,9975927,0.0000,1.0
2021-09-22,10.65,11.08,10.61,11.06,11.06,8175067,0.0000,1.0
2021-09-21,10.5659,10.87,10.48,10.71,10.71,7555827,0.0000,1.0
2021-09-20,10.39,10.67,10.13,10.6,10.6,10662308,0.0000,1.0
2021-09-17,10.27,10.7,10.18,10.69,10.69,18480002,0.0000,1.0
2021-09-16,9.7478,10.35,9.62,10.33,10.33,13696321,0.0000,1.0
2021-09-15,10.1568,10.1568,9.565,9.76,9.76,15080065,0.0000,1.0
2021-09-14,9.96,10.3388,9.745,9.91,9.91,8772180,0.0000,1.0
2021-09-13,9.75,10.19,9.52,10.03,10.03,10749359,0.0000,1.0
2021-09-10,9.9432,9.9957,9.66,9.66,9.66,9301074,0.0000,1.0
2021-09-09,10.0,10.28,9.82,9.84,9.84,10803954,0.0000,1.0
2021-09-08,10.6388,10.7,9.92,9.95,9.95,12980250,0.0000,1.0
2021-09-07,10.55,11.005,10.355,10.72,10.72,10554931,0.0000,1.0
2021-09-03,10.72,10.75,10.35,10.46,10.46,8625933,0.0000,1.0
2021-09-02,11.43,11.4547,10.65,10.66,10.66,17267220,0.0000,1.0
2021-09-01,10.3259,11.04,10.3,10.76,10.76,14047985,0.0000,1.0
2021-08-31,10.02,10.55,9.99,10.43,10.43,10180834,0.0000,1.0
2021-08-30,10.28,10.34,9.8,10.01,10.01,8281518,0.0000,1.0
2021-08-27,10.16,10.2,9.91,10.13,10.13,7703066,0.0000,1.0
2021-08-26,9.82,10.485,9.74,10.12,10.12,12322503,0.0000,1.0
2021-08-25,10.1,10.17,9.76,9.83,9.83,11568727,0.0000,1.0
2021-08-24,9.9422,10.43,9.62,10.26,10.26,14964183,0.0000,1.0
2021-08-23,9.5582,9.905,9.38,9.83,9.83,9077564,0.0000,1.0
2021-08-20,9.1,9.82,9.08,9.44,9.44,11660558,0.0000,1.0
2021-08-19,9.871,9.94,9.04,9.09,9.09,12955412,0.0000,1.0
2021-08-18,9.83,9.938,9.37,9.81,9.81,10697144,0.0000,1.0
2021-08-17,9.19,9.85,9.03,9.73,9.73,18742791,0.0000,1.0
2021-08-16,9.48,9.5,9.02,9.13,9.13,14866926,0.0000,1.0
2021-08-13,9.96,9.97,9.36,9.53,9.53,17540560,0.0000,1.0
2021-08-12,10.14,10.1832,9.83,9.95,9.95,13778247,0.0000,1.0
2021-08-11,10.45,10.45,9.91,10.0,10.0,21487245,0.0000,1.0
2021-08-10,11.28,11.55,10.36,10.4,10.4,20233390,0.0000,1.0
2021-08-09,10.12,11.12,10.11,10.96,10.96,13166386,0.0000,1.0
