date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,2.9,2.9,2.62,2.69,2.69,11717148,0.0000,1.0
2021-12-02,2.85,2.94,2.7,2.86,2.86,14693090,0.0000,1.0
2021-12-01,3.15,3.16,2.85,2.85,2.85,11548630,0.0000,1.0
2021-11-30,3.14,3.2191,2.88,3.14,3.14,19589388,0.0000,1.0
2021-11-29,3.28,3.32,3.18,3.18,3.18,5564906,0.0000,1.0
2021-11-26,3.18,3.29,3.14,3.23,3.23,5084126,0.0000,1.0
2021-11-24,3.35,3.41,3.25,3.27,3.27,8444483,0.0000,1.0
2021-11-23,3.36,3.46,3.23,3.38,3.38,8453393,0.0000,1.0
2021-11-22,3.52,3.53,3.36,3.38,3.38,7494593,0.0000,1.0
2021-11-19,3.39,3.51,3.39,3.48,3.48,6067463,0.0000,1.0
2021-11-18,3.6,3.63,3.36,3.44,3.44,13118681,0.0000,1.0
2021-11-17,3.71,3.75,3.58,3.6,3.6,7071160,0.0000,1.0
2021-11-16,3.75,3.8,3.68,3.75,3.75,5492990,0.0000,1.0
2021-11-15,3.67,3.83,3.65,3.8,3.8,8027185,0.0000,1.0
2021-11-12,3.69,3.72,3.61,3.63,3.63,7582685,0.0000,1.0
2021-11-11,3.9,3.91,3.67,3.7,3.7,13401155,0.0000,1.0
2021-11-10,3.62,4.28,3.58,3.73,3.73,32038089,0.0000,1.0
2021-11-09,3.85,3.87,3.68,3.75,3.75,8000355,0.0000,1.0
2021-11-08,3.8,3.91,3.79,3.89,3.89,6457722,0.0000,1.0
2021-11-05,3.83,3.875,3.76,3.83,3.83,5974708,0.0000,1.0
2021-11-04,3.99,4.02,3.71,3.89,3.89,10696773,0.0000,1.0
2021-11-03,3.92,3.99,3.79,3.91,3.91,10470134,0.0000,1.0
2021-11-02,3.75,3.91,3.65,3.91,3.91,9016210,0.0000,1.0
2021-11-01,3.57,3.77,3.55,3.73,3.73,9572906,0.0000,1.0
2021-10-29,3.49,3.53,3.4,3.5,3.5,5132236,0.0000,1.0
2021-10-28,3.32,3.54,3.31,3.54,3.54,8838864,0.0000,1.0
2021-10-27,3.44,3.447,3.33,3.33,3.33,5362956,0.0000,1.0
2021-10-26,3.44,3.47,3.33,3.42,3.42,7730910,0.0000,1.0
2021-10-25,3.44,3.57,3.4,3.47,3.47,6046080,0.0000,1.0
2021-10-22,3.47,3.54,3.42,3.49,3.49,5924549,0.0000,1.0
2021-10-21,3.55,3.69,3.53,3.58,3.58,5996336,0.0000,1.0
2021-10-20,3.5,3.65,3.44,3.56,3.56,7248187,0.0000,1.0
2021-10-19,3.3,3.52,3.2882,3.5,3.5,7753689,0.0000,1.0
2021-10-18,3.26,3.32,3.23,3.29,3.29,7198290,0.0000,1.0
2021-10-15,3.49,3.49,3.3,3.3,3.3,5680589,0.0000,1.0
2021-10-14,3.39,3.54,3.38,3.43,3.43,6732761,0.0000,1.0
2021-10-13,3.4,3.4,3.3,3.36,3.36,3943358,0.0000,1.0
2021-10-12,3.22,3.36,3.21,3.35,3.35,4741684,0.0000,1.0
2021-10-11,3.2,3.2685,3.17,3.2,3.2,3267308,0.0000,1.0
2021-10-08,3.33,3.37,3.2,3.2,3.2,5674146,0.0000,1.0
2021-10-07,3.24,3.35,3.23,3.3,3.3,5616465,0.0000,1.0
2021-10-06,3.18,3.2799,3.15,3.21,3.21,6848157,0.0000,1.0
2021-10-05,3.26,3.33,3.23,3.27,3.27,4444570,0.0000,1.0
