date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-12-03,187.73,187.83,177.12,183.92,183.92,8934232,0.0000,1.0
2021-12-02,195.44,198.49,188.37,191.75,191.75,6610833,0.0000,1.0
2021-12-01,211.42,211.5,196.2664,197.71,197.71,7587130,0.0000,1.0
2021-11-30,220.66,221.405,207.4,211.41,211.41,5916217,0.0000,1.0
2021-11-29,216.43,219.36,208.46,218.98,218.98,7035440,0.0000,1.0
2021-11-26,235.7,235.97,219.21,220.21,220.21,10808625,0.0000,1.0
2021-11-24,203.8967,211.5,202.0201,208.3,208.3,9218637,0.0000,1.0
2021-11-23,218.05,218.61,195.8,206.64,206.64,25297461,0.0000,1.0
2021-11-22,249.26,251.7,238.2,242.28,242.28,8012833,0.0000,1.0
2021-11-19,262.24,265.23,249.33,251.3,251.3,3882732,0.0000,1.0
2021-11-18,260.88,263.5,254.58,255.75,255.75,2360160,0.0000,1.0
2021-11-17,264.0,266.19,261.52,263.71,263.71,2417296,0.0000,1.0
2021-11-16,263.0,268.88,261.21,264.49,264.49,1972023,0.0000,1.0
2021-11-15,255.0,265.33,255.0,263.71,263.71,3994862,0.0000,1.0
2021-11-12,248.38,255.14,245.53,254.97,254.97,2934855,0.0000,1.0
2021-11-11,251.27,253.19,245.16,247.6,247.6,3286194,0.0000,1.0
2021-11-10,257.01,259.47,249.0,251.26,251.26,4903872,0.0000,1.0
2021-11-09,260.99,265.66,257.57,258.4,258.4,2991396,0.0000,1.0
2021-11-08,262.65,263.18,257.94,259.9,259.9,3944114,0.0000,1.0
2021-11-05,267.1,275.64,259.77,264.7,264.7,5420965,0.0000,1.0
2021-11-04,286.2182,291.31,280.73,282.2,282.2,1986800,0.0000,1.0
2021-11-03,280.22,286.05,274.025,285.66,285.66,2435759,0.0000,1.0
2021-11-02,281.0959,286.45,276.27,280.29,280.29,2066521,0.0000,1.0
2021-11-01,273.2,279.47,271.3444,278.94,278.94,2585002,0.0000,1.0
2021-10-29,272.02,276.614,271.5975,274.65,274.65,1493807,0.0000,1.0
2021-10-28,271.16,278.26,269.21,276.58,276.58,1594774,0.0000,1.0
2021-10-27,278.94,282.48,272.25,272.81,272.81,3104808,0.0000,1.0
2021-10-26,283.33,286.94,277.77,278.7,278.7,2421967,0.0000,1.0
2021-10-25,276.04,282.98,275.72,279.79,279.79,2925569,0.0000,1.0
2021-10-22,283.51,286.66,276.12,277.58,277.58,3320476,0.0000,1.0
2021-10-21,273.64,278.14,272.6,274.78,274.78,1496567,0.0000,1.0
2021-10-20,277.35,280.2,272.675,275.71,275.71,1740728,0.0000,1.0
2021-10-19,274.53,279.81,273.83,276.4,276.4,2379428,0.0000,1.0
2021-10-18,265.67,274.83,265.5,274.23,274.23,2649167,0.0000,1.0
2021-10-15,267.0,267.98,264.2526,266.32,266.32,2796397,0.0000,1.0
2021-10-14,270.5,274.0,266.84,267.01,267.01,3066928,0.0000,1.0
2021-10-13,257.74,268.28,257.3038,266.24,266.24,3770608,0.0000,1.0
2021-10-12,255.27,257.34,253.1,255.49,255.49,3061119,0.0000,1.0
2021-10-11,252.18,258.41,252.0,253.97,253.97,1722495,0.0000,1.0
2021-10-08,257.23,260.54,253.633,255.05,255.05,2265296,0.0000,1.0
2021-10-07,254.43,258.48,253.81,256.27,256.27,2672193,0.0000,1.0
2021-10-06,251.3,257.88,250.11,253.65,253.65,3905535,0.0000,1.0
2021-10-05,259.84,262.74,256.85,257.12,257.12,3712081,0.0000,1.0
2021-10-04,264.24,264.5734,253.41,259.58,259.58,5004600,0.0000,1.0
2021-10-01,268.7714,274.57,262.7,267.51,267.51,8664771,0.0000,1.0
2021-09-30,257.3873,264.879,255.25,261.5,261.5,4733067,0.0000,1.0
2021-09-29,262.32,266.86,256.88,257.41,257.41,4316320,0.0000,1.0
2021-09-28,269.49,270.615,259.8,261.89,261.89,5212907,0.0000,1.0
2021-09-27,269.49,275.24,266.11,272.88,272.88,3084096,0.0000,1.0
2021-09-24,274.64,275.9,267.1906,272.36,272.36,4051722,0.0000,1.0
2021-09-23,279.91,280.3592,275.45,276.19,276.19,2867881,0.0000,1.0
2021-09-22,276.2,279.39,275.25,277.95,277.95,2973663,0.0000,1.0
2021-09-21,281.0271,281.17,275.065,278.24,278.24,4168329,0.0000,1.0
2021-09-20,278.65,285.0,276.91,280.67,280.67,3905341,0.0000,1.0
2021-09-17,279.79,287.78,278.37,287.68,287.68,5423407,0.0000,1.0
2021-09-16,277.68,279.2899,273.5,278.22,278.22,4676349,0.0000,1.0
2021-09-15,282.33,283.07,277.02,279.12,279.12,4647403,0.0000,1.0
2021-09-14,290.3375,291.88,280.92,281.44,281.44,6036816,0.0000,1.0
2021-09-13,300.16,300.275,289.82,290.24,290.24,4916085,0.0000,1.0
2021-09-10,296.91,306.2634,296.81,301.5,301.5,6094949,0.0000,1.0
2021-09-09,292.16,297.57,291.13,295.86,295.86,3350142,0.0000,1.0
2021-09-08,299.55,299.96,290.53,293.6,293.6,3934430,0.0000,1.0
2021-09-07,298.295,300.98,294.8,299.96,299.96,4256775,0.0000,1.0
2021-09-03,295.325,301.805,292.03,298.29,298.29,6131395,0.0000,1.0
2021-09-02,292.8,296.6899,290.41,295.09,295.09,6652997,0.0000,1.0
2021-09-01,292.85,299.4,290.05,290.86,290.86,14996030,0.0000,1.0
2021-08-31,294.0,295.8699,288.3,289.5,289.5,34582851,0.0000,1.0
2021-08-30,341.7,348.3,339.65,347.5,347.5,10094423,0.0000,1.0
2021-08-27,343.88,344.7797,337.65,340.81,340.81,3096215,0.0000,1.0
2021-08-26,350.75,357.93,340.25,340.63,340.63,4849031,0.0000,1.0
2021-08-25,341.64,344.0499,336.791,337.74,337.74,2039229,0.0000,1.0
2021-08-24,344.4158,346.33,337.76,340.25,340.25,1778083,0.0000,1.0
2021-08-23,338.225,342.4899,336.79,341.3,341.3,2147316,0.0000,1.0
2021-08-20,333.45,344.36,333.45,336.86,336.86,2356240,0.0000,1.0
2021-08-19,336.24,337.99,331.45,332.38,332.38,2475954,0.0000,1.0
2021-08-18,345.5,346.97,339.05,340.93,340.93,2092661,0.0000,1.0
2021-08-17,345.5,349.46,341.2957,345.54,345.54,1991482,0.0000,1.0
2021-08-16,354.6,355.0,342.57,348.41,348.41,2407434,0.0000,1.0
2021-08-13,362.22,363.39,353.59,355.24,355.24,1739018,0.0000,1.0
2021-08-12,358.34,364.15,355.02,362.86,362.86,2063812,0.0000,1.0
2021-08-11,374.92,375.98,352.745,358.56,358.56,3510796,0.0000,1.0
2021-08-10,385.7,392.78,371.58,372.55,372.55,2806522,0.0000,1.0
2021-08-09,384.93,385.4999,378.2,383.34,383.34,2306576,0.0000,1.0
2021-08-06,392.3,395.0,380.7,383.47,383.47,3092007,0.0000,1.0
2021-08-05,395.7325,404.3478,391.82,398.68,398.68,3427584,0.0000,1.0
2021-08-04,376.88,403.0,376.5,400.58,400.58,5563798,0.0000,1.0
2021-08-03,378.13,385.62,371.5893,374.88,374.88,2190911,0.0000,1.0
2021-08-02,378.0,382.4199,364.0,378.96,378.96,3163580,0.0000,1.0
2021-07-30,380.51,392.0,377.53,378.1,378.1,2872548,0.0000,1.0
2021-07-29,376.07,396.8946,375.0,386.02,386.02,6619863,0.0000,1.0
2021-07-28,368.4806,374.145,364.23,369.49,369.49,1870739,0.0000,1.0
2021-07-27,374.76,377.6994,357.87,367.54,367.54,3079957,0.0000,1.0
2021-07-26,366.48,375.83,362.5,373.14,373.14,3842000,0.0000,1.0
2021-07-23,361.6,362.5,351.0,359.23,359.23,2874302,0.0000,1.0
2021-07-22,357.03,367.1,356.21,361.39,361.39,3096011,0.0000,1.0
2021-07-21,355.34,355.8,348.3331,352.97,352.97,2953384,0.0000,1.0
2021-07-20,357.825,359.24,347.08,355.81,355.81,4061077,0.0000,1.0
2021-07-19,356.3299,357.5,343.82,354.2,354.2,7787637,0.0000,1.0
2021-07-16,359.87,365.5,354.34,361.97,361.97,1887136,0.0000,1.0
2021-07-15,363.93,368.5755,355.35,356.81,356.81,2399727,0.0000,1.0
2021-07-14,380.8,381.31,360.45,360.61,360.61,2599594,0.0000,1.0
2021-07-13,379.04,384.5,375.41,378.39,378.39,1757416,0.0000,1.0
2021-07-12,385.41,390.88,378.27,379.12,379.12,1902545,0.0000,1.0
2021-07-09,381.02,387.5299,377.7923,385.08,385.08,1918192,0.0000,1.0
2021-07-08,386.0,390.5,377.5,386.01,386.01,2748854,0.0000,1.0
2021-07-07,403.86,406.48,393.3,393.91,393.91,2026580,0.0000,1.0
2021-07-06,392.58,403.47,391.5601,401.12,401.12,3436160,0.0000,1.0
2021-07-02,390.48,398.72,386.5501,388.89,388.89,2066642,0.0000,1.0
2021-07-01,386.12,390.11,382.0,386.48,386.48,1468446,0.0000,1.0
2021-06-30,395.0,395.4322,385.54,387.03,387.03,2249364,0.0000,1.0
2021-06-29,388.85,395.44,382.77,394.73,394.73,2582740,0.0000,1.0
2021-06-28,375.94,393.33,374.5,388.86,388.86,3459901,0.0000,1.0
2021-06-25,374.07,374.08,364.08,372.47,372.47,3647178,0.0000,1.0
2021-06-24,378.45,382.5,372.3201,373.4,373.4,2438864,0.0000,1.0
2021-06-23,375.0,382.71,373.9901,376.92,376.92,2358930,0.0000,1.0
2021-06-22,368.51,377.0,368.5,374.65,374.65,1998979,0.0000,1.0
2021-06-21,368.78,372.6244,363.2901,369.25,369.25,1896884,0.0000,1.0
2021-06-18,374.01,379.89,370.93,374.24,374.24,4569088,0.0000,1.0
2021-06-17,358.205,374.52,358.205,372.95,372.95,3416645,0.0000,1.0
2021-06-16,357.815,366.83,355.41,361.83,361.83,2570628,0.0000,1.0
2021-06-15,364.5,364.5,357.048,359.0,359.0,2587908,0.0000,1.0
2021-06-14,361.87,369.5773,359.3989,365.91,365.91,3444302,0.0000,1.0
2021-06-11,347.64,367.96,345.1001,366.4,366.4,6783411,0.0000,1.0
2021-06-10,332.05,346.88,331.0,346.5,346.5,2809175,0.0000,1.0
2021-06-09,330.63,340.34,330.23,333.63,333.63,2721234,0.0000,1.0
2021-06-08,343.0,350.15,339.22,341.26,341.26,2842679,0.0000,1.0
2021-06-07,332.67,344.93,331.1225,342.66,342.66,4538681,0.0000,1.0
2021-06-04,321.5909,338.99,319.77,336.0,336.0,5604900,0.0000,1.0
2021-06-03,320.1135,325.83,318.25,319.01,319.01,3107262,0.0000,1.0
2021-06-02,331.8841,333.7899,322.21,327.11,327.11,6252059,0.0000,1.0
2021-06-01,333.33,336.14,321.7,327.72,327.72,6607106,0.0000,1.0
2021-05-28,330.51,336.33,329.63,331.53,331.53,2745710,0.0000,1.0
2021-05-27,324.11,331.0,317.55,326.43,326.43,3622149,0.0000,1.0
2021-05-26,324.3,329.46,323.24,326.05,326.05,2374274,0.0000,1.0
2021-05-25,322.71,325.51,316.08,321.28,321.28,2160143,0.0000,1.0
2021-05-24,318.52,324.03,316.5,321.56,321.56,1855034,0.0000,1.0
2021-05-21,328.21,329.45,316.061,316.4,316.4,2057281,0.0000,1.0
2021-05-20,314.25,325.95,313.03,324.71,324.71,3029444,0.0000,1.0
2021-05-19,301.58,311.51,299.0,310.46,310.46,1728378,0.0000,1.0
2021-05-18,309.41,322.25,304.97,312.86,312.86,3311947,0.0000,1.0
2021-05-17,304.83,311.91,301.93,308.93,308.93,2905553,0.0000,1.0
2021-05-14,292.15,309.18,292.15,307.89,307.89,4357291,0.0000,1.0
2021-05-13,293.98,296.61,275.8,290.16,290.16,4608514,0.0000,1.0
2021-05-12,291.05,296.53,282.405,289.7,289.7,3419846,0.0000,1.0
2021-05-11,273.91,302.0,273.2,300.25,300.25,4084394,0.0000,1.0
2021-05-10,293.01,293.94,286.04,288.49,288.49,2507782,0.0000,1.0
2021-05-07,295.437,304.697,292.71,295.24,295.24,2446247,0.0000,1.0
2021-05-06,295.2,295.2,285.6101,293.05,293.05,3369092,0.0000,1.0
2021-05-05,306.53,310.9799,294.5,297.59,297.59,2582590,0.0000,1.0
2021-05-04,310.96,311.5,298.77,304.85,304.85,3727585,0.0000,1.0
2021-05-03,320.24,321.125,311.53,313.92,313.92,2253018,0.0000,1.0
2021-04-30,318.03,326.279,317.24,319.57,319.57,2152491,0.0000,1.0
2021-04-29,331.16,332.5,318.89,321.1,321.1,3121077,0.0000,1.0
2021-04-28,330.24,334.7011,326.045,331.25,331.25,1437552,0.0000,1.0
2021-04-27,336.39,341.68,330.89,333.49,333.49,2208306,0.0000,1.0
2021-04-26,337.51,337.9999,329.21,336.42,336.42,2286662,0.0000,1.0
2021-04-23,331.49,338.55,328.24,336.88,336.88,2446094,0.0000,1.0
2021-04-22,322.665,338.05,322.665,328.32,328.32,3328347,0.0000,1.0
2021-04-21,317.01,323.11,313.5,322.76,322.76,1917537,0.0000,1.0
2021-04-20,326.73,327.55,316.3601,321.78,321.78,2282512,0.0000,1.0
2021-04-19,327.52,337.795,320.5,324.33,324.33,3131938,0.0000,1.0
2021-04-16,330.27,333.75,326.87,329.95,329.95,2476528,0.0000,1.0
2021-04-15,334.145,338.42,327.46,332.38,332.38,3360706,0.0000,1.0
2021-04-14,344.72,345.02,328.63,329.2,329.2,2844896,0.0000,1.0
2021-04-13,327.3584,343.7075,325.5,342.75,342.75,5298165,0.0000,1.0
2021-04-12,318.1,322.3799,315.19,321.51,321.51,2964475,0.0000,1.0
2021-04-09,329.1025,329.82,319.42,322.65,322.65,3216481,0.0000,1.0
2021-04-08,326.85,333.9899,326.0,331.28,331.28,2821481,0.0000,1.0
2021-04-07,329.11,333.44,319.23,323.08,323.08,4197653,0.0000,1.0
2021-04-06,323.75,332.66,321.66,329.79,329.79,3767050,0.0000,1.0
2021-04-05,327.83,328.4999,313.1,323.96,323.96,3024709,0.0000,1.0
2021-04-01,325.98,338.91,325.5,326.23,326.23,2853899,0.0000,1.0
2021-03-31,315.235,325.74,311.13,321.29,321.29,2773222,0.0000,1.0
2021-03-30,305.0,314.88,302.32,313.19,313.19,2837135,0.0000,1.0
2021-03-29,317.07,322.97,305.78,308.39,308.39,3041416,0.0000,1.0
2021-03-26,312.89,320.0,306.75,319.95,319.95,3219843,0.0000,1.0
2021-03-25,310.95,320.63,308.31,314.85,314.85,3564820,0.0000,1.0
2021-03-24,338.6754,339.99,314.3504,314.96,314.96,4924523,0.0000,1.0
2021-03-23,330.0,347.4,329.3523,339.76,339.76,5723818,0.0000,1.0
2021-03-22,329.45,333.8899,327.01,328.5,328.5,2947934,0.0000,1.0
2021-03-19,316.83,327.9773,313.63,326.26,326.26,4981385,0.0000,1.0
2021-03-18,330.0,330.33,316.0,316.32,316.32,5446757,0.0000,1.0
2021-03-17,328.57,340.54,322.66,336.65,336.65,3593229,0.0000,1.0
2021-03-16,351.99,355.49,333.69,335.08,335.08,3333166,0.0000,1.0
2021-03-15,347.0759,351.56,343.5,350.0,350.0,1993509,0.0000,1.0
2021-03-12,342.01,350.44,338.43,346.39,346.39,2960750,0.0000,1.0
2021-03-11,347.99,357.3983,338.8,355.17,355.17,3915392,0.0000,1.0
2021-03-10,347.99,355.69,333.0101,336.03,336.03,4729969,0.0000,1.0
2021-03-09,331.95,343.576,320.8,342.11,342.11,5705183,0.0000,1.0
2021-03-08,334.99,339.35,309.0,310.93,310.93,6899076,0.0000,1.0
2021-03-05,345.39,347.75,314.38,337.43,337.43,8255524,0.0000,1.0
2021-03-04,347.8,358.2999,333.0,343.09,343.09,10328083,0.0000,1.0
2021-03-03,383.0,383.25,339.0,341.57,341.57,15526026,0.0000,1.0
2021-03-02,439.6,440.0,371.82,372.79,372.79,18156568,0.0000,1.0
2021-03-01,388.66,416.2,387.01,409.66,409.66,10044698,0.0000,1.0
2021-02-26,367.95,377.094,356.1709,373.61,373.61,4641536,0.0000,1.0
2021-02-25,383.78,387.655,361.01,364.73,364.73,4555823,0.0000,1.0
2021-02-24,383.13,388.675,375.62,385.23,385.23,3442360,0.0000,1.0
2021-02-23,371.01,389.99,351.81,388.16,388.16,5558188,0.0000,1.0
2021-02-22,408.5,411.72,390.6,394.34,394.34,4286657,0.0000,1.0
2021-02-19,419.22,425.99,414.5,417.26,417.26,2195043,0.0000,1.0
2021-02-18,426.75,428.88,414.0,417.91,417.91,2645328,0.0000,1.0
2021-02-17,440.02,441.2,418.25,429.42,429.42,3985629,0.0000,1.0
2021-02-16,438.7965,451.77,436.7,444.51,444.51,4249151,0.0000,1.0
2021-02-12,431.52,435.0,423.13,433.11,433.11,2077846,0.0000,1.0
2021-02-11,433.99,443.75,429.51,432.77,432.77,3502618,0.0000,1.0
2021-02-10,431.89,441.22,416.1443,431.0,431.0,4655432,0.0000,1.0
2021-02-09,411.6946,434.67,410.3128,430.03,430.03,5098971,0.0000,1.0
2021-02-08,420.74,422.0,406.5,410.81,410.81,3737875,0.0000,1.0
2021-02-05,387.86,420.0,387.86,419.59,419.59,9759071,0.0000,1.0
2021-02-04,383.5,390.0,376.87,389.98,389.98,2528066,0.0000,1.0
2021-02-03,395.79,395.79,379.0,380.47,380.47,3433077,0.0000,1.0
2021-02-02,384.5,394.89,378.6801,391.84,391.84,3751893,0.0000,1.0
2021-02-01,369.0,382.78,368.13,381.93,381.93,3443852,0.0000,1.0
2021-01-29,379.0,385.91,358.6201,372.07,372.07,3958970,0.0000,1.0
2021-01-28,368.0,383.3139,363.86,378.59,378.59,3374206,0.0000,1.0
2021-01-27,367.5,384.2544,362.7655,370.74,370.74,4557483,0.0000,1.0
2021-01-26,391.08,395.8199,372.2,374.39,374.39,5151261,0.0000,1.0
2021-01-25,388.99,398.8,378.27,391.83,391.83,5178085,0.0000,1.0
2021-01-22,380.99,385.2899,376.38,383.4,383.4,2791585,0.0000,1.0
2021-01-21,383.03,387.21,372.03,382.81,382.81,5180798,0.0000,1.0
2021-01-20,399.11,399.53,378.3187,382.8,382.8,5713892,0.0000,1.0
2021-01-19,391.01,396.77,385.5101,393.87,393.87,5709437,0.0000,1.0
2021-01-15,397.71,404.44,382.0701,384.53,384.53,12799509,0.0000,1.0
2021-01-14,371.0,384.95,370.5,383.24,383.24,9310967,0.0000,1.0
2021-01-13,360.0,384.23,348.6512,364.63,364.63,14056546,0.0000,1.0
2021-01-12,333.2,358.9,331.1,356.81,356.81,8890435,0.0000,1.0
2021-01-11,344.98,349.96,336.85,337.71,337.71,3360357,0.0000,1.0
2021-01-08,345.2,350.0,340.34,349.61,349.61,5009213,0.0000,1.0
2021-01-07,346.0,354.48,341.6,342.5,342.5,5601170,0.0000,1.0
2021-01-06,351.0,352.94,341.92,344.41,344.41,7124614,0.0000,1.0
2021-01-05,360.39,365.01,349.0,360.83,360.83,4983521,0.0000,1.0
2021-01-04,340.4,363.09,339.2,359.98,359.98,8598300,0.0000,1.0
2020-12-31,351.77,351.83,336.1,337.32,337.32,6559744,0.0000,1.0
2020-12-30,358.42,358.7,345.4,353.4,353.4,5474464,0.0000,1.0
2020-12-29,350.6597,359.9072,350.13,353.75,353.75,6080283,0.0000,1.0
2020-12-28,370.4,373.28,349.0197,351.39,351.39,9418598,0.0000,1.0
2020-12-24,383.88,384.88,375.0,375.17,375.17,3850734,0.0000,1.0
