timestamp,open,high,low,close,volume
2022-02-16,364.3700,383.2900,357.2650,381.6000,7562208
2022-01-31,413.7000,422.4300,336.2912,363.7400,14217574
2021-12-31,390.0900,417.2500,362.2950,412.3400,19529544
2021-11-30,369.1300,417.8464,363.3800,383.9500,12031005
2021-10-29,361.9200,410.9300,355.0000,367.3600,18612031
2021-09-30,389.5200,392.0000,360.5100,360.9200,11913284
2021-08-31,337.5000,414.9800,335.7350,387.3100,16118062
2021-07-30,346.9900,354.6500,319.0500,335.8000,10932207
2021-06-30,346.7000,356.3100,323.1100,345.7700,14614654
2021-05-28,330.4000,351.7200,299.7727,345.3600,17583048
2021-04-30,311.4300,340.2650,307.7900,329.3500,12985563
2021-03-31,326.7700,351.0000,297.2900,309.1700,26689982
2021-02-26,282.0300,338.2600,276.0000,322.3300,10573382
2021-01-29,287.1600,310.4875,277.8500,279.7600,13445932
2020-12-31,273.8400,293.5200,258.0000,287.1600,22255943
2020-11-30,209.0000,287.2399,206.8001,275.4000,24899133
2020-10-30,226.9600,245.6878,200.5000,206.7700,17498874
2020-09-30,230.5300,244.0000,212.0600,223.9800,18262562
2020-08-31,193.1400,256.6000,188.1793,232.1800,28489851
2020-07-31,202.6200,209.8500,186.9800,192.9900,22535481
2020-06-30,246.3500,258.1800,186.0100,203.4200,31870436
2020-05-29,212.9000,252.8900,188.1000,244.0100,24855318
2020-04-30,167.9400,230.6667,153.2900,217.9200,24609078
2020-03-31,256.3450,269.3000,124.0500,175.7000,38560098
2020-02-28,273.0000,304.6500,252.0900,257.0900,16252872
2020-01-31,254.3200,284.0600,246.7400,267.9100,21773411
2019-12-31,233.3700,269.8900,232.6170,253.1400,32313197
2019-11-29,235.1600,248.8800,222.0000,233.8600,24576554
2019-10-31,253.4500,267.2500,229.7900,233.1500,35498086
2019-09-30,234.0500,251.7600,224.6557,250.6500,43820497
2019-08-30,348.7300,355.3600,235.7600,237.7300,34640098
2019-07-31,350.5500,368.8300,338.2500,349.2500,13922560
2019-06-28,333.8900,365.5350,327.8500,346.8900,14196515
2019-05-31,347.8100,354.6200,304.0400,333.3800,19474871
2019-04-30,351.5000,359.6900,344.2600,348.9800,11650752
2019-03-29,315.6100,351.4340,294.0000,348.7300,20817664
2019-02-28,292.3800,315.1600,282.9000,312.4900,12956491
2019-01-31,239.9600,294.4400,239.3100,291.9200,15668832
2018-12-31,303.8800,311.3000,224.4301,244.8400,25404104
2018-11-30,275.9000,322.4899,272.2100,297.7900,23219005
2018-10-31,284.1200,287.0500,263.0050,274.5200,19365090
2018-09-28,260.0000,290.2950,258.2700,282.1200,20675589
2018-08-31,243.9200,268.8750,229.6200,260.0000,23021553
2018-07-31,231.1200,260.5000,228.3800,244.3900,14973195
2018-06-29,235.9900,259.6200,233.2200,233.4600,24331556
2018-05-31,252.0600,261.4000,242.6000,246.9100,18716840
2018-04-30,204.2800,257.6300,199.1500,250.9100,23713773
2018-03-29,203.6200,223.5000,191.7010,204.2700,29791992
2018-02-28,220.6000,224.3900,198.2900,203.3500,21564702
2018-01-31,224.4400,249.3000,220.6700,222.1000,25351384
2017-12-29,208.0700,230.8900,201.0000,223.6600,30192523
2017-11-30,203.7900,227.4000,191.8000,221.7100,24475909
2017-10-31,226.9300,227.7900,187.9600,201.7900,33698476
2017-09-29,221.1200,231.2800,218.1300,226.0600,20918843
2017-08-31,253.1400,257.0600,204.0100,221.0100,36329075
2017-07-31,287.7000,288.3400,243.2800,251.2100,25403826
2017-06-30,304.4500,314.8600,280.3200,287.3400,16017642
2017-05-31,281.7800,310.0000,277.6800,304.8400,17975364
